name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Harris,00-0028224,no,DEN,CB,6,1,2,0,57,0,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Davis,00-0031427,no,DEN,ILB,33,1,0,0.5,65,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Stewart,00-0027256,no,DEN,FS,12,2,3,0,56,0,0,0,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Nelson,00-0031350,no,DEN,ILB,22,0,0,0,41,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Talib,00-0026160,no,DEN,CB,11,0,3,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,,,,,,,,,,,,,,
J.Crick,00-0029417,no,DEN,DE,20,3,0,3.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Ward,00-0027653,no,DEN,SS,19,2,1,1,67,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Simmons,00-0032971,no,DEN,SS,4,0,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Wolfe,00-0029586,no,DEN,DE,13,0,0,5.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Barrett,00-0031101,no,DEN,OLB,10,1,0,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Miller,00-0027940,no,DEN,OLB,16,2,0,12.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Marshall,00-0029620,no,DEN,ILB,13,0,0,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Williams,00-0030577,no,DEN,DT,8,0,0,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Ware,00-0023445,no,DEN,,6,0,0,4.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Ray,00-0032221,no,DEN,OLB,14,1,0,8.5,34,0,0,0,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Kilgo,00-0032138,no,DEN,NT,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Newton,00-0027939,no,CAR,QB,,,,,,2,0,2,0,0,,,,,,,,,,,,,,,510,270,14,19,4,1,3509,,,,,,,,,,,,,,,,,,90,162,14,5,1,1,359
J.Stewart,00-0026153,no,CAR,RB,,,,,,2,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,8,0,0,0,60,218,265,11,9,0,0,824
M.Tolbert,00-0026069,no,CAR,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,10,1,0,0,72,35,65,0,0,0,0,114
T.Ginn,00-0025396,no,CAR,WR,,,,,,2,1,3,1,0,,,,,,,,,,183,248,0,19,0,,,,,,,,,,,,,80,117,0,29,0,441,213,54,4,0,0,752,14,92,0,0,0,0,98
F.Whittaker,00-0029731,no,CAR,RB,,,,,,1,0,1,0,0,,,,,,,,,,154,176,0,12,0,,,,,,,,,,,,,,,,,,135,0,25,0,0,0,226,57,113,0,0,0,0,265
K.Benjamin,00-0031359,no,CAR,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,105,63,7,0,0,941,,,,,,,
C.Brown,00-0031118,no,CAR,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,16,27,1,0,0,276,2,6,0,0,0,0,6
D.Funchess,00-0032055,no,CAR,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,77,23,4,1,1,371,,,,,,,
G.Olsen,00-0025418,no,CAR,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,101,80,3,3,1,1073,,,,,,,
S.Thompson,00-0031550,no,CAR,OLB,15,0,1,0,39,0,0,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Gano,00-0026858,no,CAR,K,,,,,,,,,,,38,30,598,90,32,2,31,1,31,,,,,,,,,,,,,30,0,54,4,180,,,,,,,,,,,,,,,,,,,
A.Lee,00-0022824,no,CAR,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,18,513,36,1769,,,,,,,,,,,,,,,,,,,
L.Kuechly,00-0029248,no,CAR,MLB,31,1,1,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Boston,00-0031261,no,CAR,DB,14,0,2,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Johnson,00-0025470,no,CAR,DE,12,3,0,4.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Benwikere,00-0031262,no,CAR,CB,2,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Butler,00-0032967,no,CAR,DT,8,0,0,1.5,5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Klein,00-0030463,no,CAR,LB,13,2,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Coleman,00-0027835,no,CAR,SS,30,1,4,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Davis,00-0023448,no,CAR,OLB,33,1,3,2.5,73,0,0,0,2,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Short,00-0030448,no,CAR,DT,25,1,0,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Delaire,00-0031843,no,CAR,,3,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.McClain,00-0027840,no,CAR,DB,15,0,0,0.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bradberry,00-0032890,no,CAR,CB,12,0,2,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Ryan,00-0026143,no,ATL,QB,,,,,,2,2,4,2,-3,,,,,,,,,,,,,,,534,373,7,38,4,1,4944,,,,,,,,,,,,,,,,,,35,94,0,0,1,0,117
D.Freeman,00-0031285,no,ATL,RB,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,18,54,2,1,0,462,227,354,130,11,0,0,1079
T.Coleman,00-0032058,no,ATL,RB,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,44,31,3,0,0,421,118,221,112,8,0,0,520
J.Hardy,00-0031570,no,ATL,WR,,,,,,,,,,,,,,,,,,,,52,52,0,3,0,,,,,,,,,,,,,,,,,,129,22,21,4,0,0,203,,,,,,,
J.Tamme,00-0026267,no,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,35,22,3,0,0,210,,,,,,,
P.DiMarco,00-0028581,no,ATL,RB,,,,,,,,,,,,,,,,,,,,14,14,0,1,0,,,,,,,,,,,,,,,,,,52,1,7,1,0,0,52,,,,,,,
A.Hooper,00-0032392,no,ATL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,53,19,3,0,0,271,,,,,,,
J.Jones,00-0027944,no,ATL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,161,83,6,1,0,1409,,,,,,,
M.Sanu,00-0029632,no,ATL,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,36,59,4,1,1,653,1,5,0,0,0,0,5
M.Bryant,00-0020578,no,ATL,K,,,,,,,,,,,36,34,613,102,57,0,56,1,56,,,,,,,,,,,,,34,0,36,2,67,,,,,,,,,,,,,,,,,,,
M.Bosher,00-0028130,no,ATL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,21,757,44,2060,,,,,,,,,,,,,,,,,,,
E.Weems,00-0024535,no,ATL,WR,,,,,,,,,,,,,,,,,,,,207,239,0,17,0,,,,,,,,,,,,,144,223,0,24,0,,,,,,,,,,,,,,
K.Ishmael,00-0030427,no,ATL,SS,20,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Poole,00-0032596,no,ATL,CB,16,0,1,1,41,0,0,0,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Alford,00-0030528,no,ATL,CB,9,0,2,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Shelby,00-0029111,no,ATL,DE,2,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Campbell,00-0032401,no,ATL,OLB,12,1,1,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Allen,00-0031181,no,ATL,FS,29,0,2,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Jones,00-0032388,no,ATL,MLB,31,1,3,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Weatherspoon,00-0027871,no,ATL,,6,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Wheeler,00-0026233,no,ATL,LB,10,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Clayborn,00-0027958,no,ATL,DE,3,0,0,4.5,19,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Upshaw,00-0029252,no,ATL,DE,9,1,0,1.0,14,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Babineaux,00-0023494,no,ATL,,8,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Jarrett,00-0031583,no,ATL,DT,27,0,0,4,20,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Trufant,00-0030562,no,ATL,CB,5,2,1,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Winston,00-0031503,no,TB,QB,,,,,,6,3,9,3,-5,,,,,,,,,,,,,,,568,345,18,28,5,3,4090,,,,,,,,,,,,,,,,,,52,121,7,1,1,0,168
A.Humphries,00-0032009,no,TB,WR,,,,,,0,2,3,2,0,,,,,,,,,,47,47,0,4,0,,,,,,,,,,,,,108,154,0,24,0,305,49,55,2,1,1,622,5,23,0,0,0,0,18
R.Shepard,00-0030147,no,TB,WR,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,38,23,2,0,0,341,1,9,0,0,0,0,9
C.Sims,00-0031390,no,TB,RB,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,23,24,1,0,0,190,51,75,1,1,0,0,149
D.Martin,00-0029613,no,TB,RB,,,,,,1,1,1,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,0,14,0,0,0,134,144,93,4,3,0,0,421
M.Evans,00-0031408,no,TB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,193,96,12,2,2,1321,,,,,,,
A.Seferian-Jenkins,00-0031418,no,TB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,30,13,1,0,0,154,,,,,,,
C.Brate,00-0031273,no,TB,TE,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,54,57,8,0,0,660,,,,,,,
B.Myers,00-0027135,no,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,7,1,0,0,59,,,,,,,
V.Jackson,00-0023496,no,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,15,0,2,0,173,,,,,,,
R.Aguayo,00-0033102,no,TB,K,,,,,,,,,,,30,22,409,66,34,0,32,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Anger,00-0029692,no,TB,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,37,857,70,3215,,,,,,,,,,,,,,,,,,,
Da.Smith,00-0022839,no,TB,,8,0,1,0,27,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Adjei-Barimah,00-0032273,no,TB,CB,0,1,0,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.McDonald,00-0026964,no,TB,DT,11,0,0,3.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Conte,00-0028031,no,TB,SS,10,0,2,0,54,0,0,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Alexander,00-0032109,no,TB,MLB,37,1,1,3,109,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.David,00-0029562,no,TB,OLB,19,4,1,5,67,0,0,0,2,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Ayers,00-0026994,no,TB,DE,8,1,0,6.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Hargreaves,00-0032758,no,TB,CB,8,1,1,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,21,0,5,0,,,,,,,,,,,,,,
K.Tandy,00-0029422,no,TB,SS,11,0,4,0,40,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.McDougald,00-0030161,no,TB,DB,13,0,2,0,78,0,0,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.McCoy,00-0027856,no,TB,DT,10,2,0,6.5,25,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Verner,00-0027705,no,TB,DB,1,0,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Flacco,00-0026158,no,BAL,QB,,,,,,3,1,5,1,-2,,,,,,,,,,,,,,,673,437,15,20,5,4,4317,,,,,,,,,,,,,,,,,,22,55,8,2,0,0,53
M.Wallace,00-0026901,no,BAL,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,178,72,4,1,1,1017,5,31,0,0,0,0,31
J.Forsett,00-0026373,no,BAL,,,,,,,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,21,0,0,0,85,87,137,1,1,0,0,291
K.Juszczyk,00-0029892,no,BAL,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,0,37,0,1,1,266,5,17,10,1,0,0,22
T.West,00-0031375,no,BAL,RB,,,,,,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,3,34,1,0,0,236,193,263,32,5,0,0,774
C.Moore,00-0032398,no,BAL,WR,,,,,,0,0,1,2,0,,,,,,,,,,88,98,0,7,0,,,,,,,,,,,,,,,,,,43,0,7,0,0,0,46,3,19,0,0,0,0,19
S.Smith,00-0020337,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,120,70,5,3,2,799,,,,,,,
D.Pitta,00-0027714,no,BAL,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,13,86,2,0,0,729,,,,,,,
B.Perriman,00-0032054,no,BAL,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,94,33,3,0,0,499,1,2,0,0,0,0,2
C.Gillmore,00-0030992,no,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7,8,1,0,0,71,,,,,,,
K.Aiken,00-0028497,no,BAL,WR,,,,,,0,2,0,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,5,29,1,0,0,328,,,,,,,
J.Tucker,00-0029597,no,BAL,K,,,,,,,,,,,38,38,745,114,27,0,27,0,27,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
S.Koch,00-0024417,no,BAL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,37,905,80,3665,,,,,,,,,,,,,1,0,0,0,0,0,0
D.Hester,00-0024272,no,BAL,,,,,,,1,3,5,3,0,,,,,,,,,,231,291,0,19,0,,,,,,,,,,,,,75,126,0,25,0,,,,,,,,,,,,,,
S.Wright,00-0028027,no,BAL,DB,8,0,0,0,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Williams,00-0030511,no,BAL,NT,18,0,0,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Mosley,00-0031296,no,BAL,ILB,37,1,4,0,55,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Levine,00-0027539,no,BAL,CB,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Pierce,00-0032574,no,BAL,DE,16,0,0,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Orr,00-0030700,no,BAL,,41,1,3,0,89,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Urban,00-0031177,no,BAL,DE,3,0,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Smith,00-0031576,no,BAL,OLB,10,1,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Weddle,00-0025424,no,BAL,SS,41,1,4,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Jernigan,00-0031170,no,BAL,DT,15,0,1,5,16,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Suggs,00-0022161,no,BAL,OLB,7,3,0,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.McClellan,00-0027560,no,BAL,OLB,21,0,0,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Judon,00-0032415,no,BAL,LB,15,0,0,4,12,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Young,00-0032770,no,BAL,CB,9,0,2,0,41,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Smith,00-0027965,no,BAL,CB,3,0,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Guy,00-0028171,no,BAL,DE,14,2,0,1,15,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Taylor,00-0028118,no,BUF,QB,,,,,,2,3,4,3,-6,,,,,,,,,,,,,,,437,270,6,17,1,1,3023,,,,,,,,,,,,,,,,,,95,267,78,6,1,1,580
R.Bush,00-0024217,no,BUF,,,,,,,0,0,1,0,0,,,,,,,,,,57,70,0,5,0,,,,,,,,,,,,,6,13,0,2,0,70,0,7,0,1,1,90,12,15,1,1,0,0,-3
L.McCoy,00-0027029,no,BUF,RB,,,,,,0,1,3,1,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,7,51,1,0,0,356,234,389,155,13,1,1,1267
M.Gillislee,00-0030433,no,BUF,RB,,,,,,0,1,1,1,0,,,,,,,,,,19,19,0,1,0,,,,,,,,,,,,,,,,,,49,18,9,1,0,0,50,101,254,59,8,0,0,576
R.Woods,00-0030431,no,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,5,51,1,0,0,613,1,6,0,0,0,0,6
C.Clay,00-0028112,no,BUF,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,77,57,4,0,0,552,,,,,,,
S.Watkins,00-0031325,no,BUF,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,46,28,2,0,0,430,,,,,,,
P.Brown,00-0031171,no,BUF,ILB,58,1,0,1,77,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Carpenter,00-0026003,no,BUF,,,,,,,,,,,,25,19,451,57,44,1,40,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Schmidt,00-0030551,no,BUF,P,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,599,20,804,75,3183,,,,,,,,,,,,,1,16,0,0,0,0,16
N.O'Leary,00-0032117,no,BUF,TE,,,,,,,,,,,,,,,,,,,,27,27,0,2,0,,,,,,,,,,,,,,,,,,105,0,9,0,1,1,114,,,,,,,
B.Tate,00-0027057,no,BUF,WR,,,,,,,,,,,,,,,,,,,,251,308,0,29,0,,,,,,,,,,,,,171,261,0,26,0,90,0,8,0,0,0,117,3,48,0,0,0,0,48
D.Williams,00-0030073,no,BUF,,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Robey-Coleman,00-0030041,no,BUF,DB,2,0,2,0,28,0,0,0,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Williams,00-0024348,no,BUF,DE,21,1,0,5.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Meeks,00-0030084,no,BUF,,3,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Graham,00-0025555,no,BUF,DB,25,0,1,1,59,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
