rank,name,pos,team,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
146,D.Bailey, DAL,,6,156,155,154,153,155,154.6,
147,C.Panthers, CAR,,11,190,146,147,145,146,154.8,
148,T.Smith, PHI,,10,168,105,121,181,NR,155.2,
149,A.Cardinals, ARI,,8,145,NR,145,146,141,155.6,
150,M.Prater, DET,,7,159,156,158,154,158,157,
151,E.Ebron, DET,,7,186,138,137,NR,124,157.2,
152,N.England, NE,,9,146,NR,149,143,148,157.4,
153,A.Kamara, NO,,5,164,178,168,137,149,159.2,
154,W.Smallwood, PHI,,10,138,130,NR,198,129,159.2,
155,J.Williams, GB,,8,NR,98,134,164,NR,159.6,
156,D.Amendola, NE,,9,161,172,184,112,174,160.6,
157,A.Dalton, CIN,,6,175,140,120,NR,173,161.8,
158,J.Charles, DEN,,5,177,120,126,185,NR,161.8,
159,K.Stills, MIA,,1,167,123,141,189,195,163,
160,D.Hopkins, WAS,,5,158,191,157,158,157,164.2,
161,C.Sims, TB,,1,NR,128,183,184,127,164.6,
162,C.Thompson, WAS,,5,179,161,173,119,192,164.8,
163,D.Foreman, HOU,,7,136,NR,175,120,193,165,
164,M.Crosby, GB,,8,160,157,155,155,199,165.2,
165,C.Wentz, PHI,,10,165,193,165,130,176,165.8,
166,J.Jaguars, JAC,,8,148,147,150,NR,NR,169.4,
167,C.Bengals, CIN,,6,NR,151,148,147,NR,169.6,
168,S.Vereen, NYG,,8,181,164,194,197,117,170.6,
169,D.Lewis, NE,,9,NR,200,199,122,133,171,
170,T.Taylor, BUF,,6,173,194,125,NR,163,171.2,
171,J.Conner, PIT,,9,139,NR,197,123,NR,172.2,
172,C.Santos, KC,,10,192,NR,160,156,160,173.8,
173,J.Richard, OAK,,10,130,NR,178,159,NR,173.8,
174,A.Hooper, ATL,,5,162,175,161,NR,172,174.2,
175,D.Funchess, CAR,,11,NR,112,167,191,NR,174.4,
176,D.Washington, OAK,,10,131,NR,NR,138,NR,174.4,
177,E.Manning, NYG,,8,NR,169,132,NR,177,176,
178,J.Kearse, NYJ,,11,124,NR,NR,194,161,176.2,
179,K.Wright, CHI,,9,NR,197,187,178,123,177.2,
180,J.Nelson, ARI,,8,183,185,163,168,188,177.4,
181,R.Woods, LAR,,8,169,184,180,182,175,178,
182,N.York, NYG,,8,NR,149,189,NR,150,178,
183,C.Brate, TB,,1,NR,NR,172,NR,125,180,
184,C.Kupp, LAR,,8,133,NR,NR,169,196,180,
185,W.Lutz, NO,,5,154,NR,191,NR,156,180.6,
186,C.Palmer, ARI,,8,198,168,171,NR,169,181.4,
187,J.Ross, CIN,,6,163,NR,169,174,NR,181.6,
188,D.Booker, DEN,,5,180,NR,NR,136,191,181.8,
189,C.Beasley, DAL,,6,NR,173,NR,NR,136,182.4,
190,J.Witten, DAL,,6,NR,182,166,NR,167,183.4,
191,T.Gabriel, ATL,,5,200,139,177,NR,NR,183.6,
192,C.Boswell, PIT,,9,NR,158,159,NR,NR,184,
193,J.Thomas, MIA,,1,166,176,NR,NR,183,185.4,
194,M.Sanu, ATL,,5,NR,125,NR,NR,NR,185.8,
195,W.Fuller, HOU,,7,NR,NR,127,NR,NR,186.2,
196,P.Richardson, SEA,,6,NR,198,NR,NR,135,187.2,
197,J.McKinnon, MIN,,9,NR,NR,NR,196,139,187.6,
198,D.Henderson, DEN,,5,NR,NR,NR,135,NR,187.8,
199,M.Mack, IND,,11,178,NR,192,167,NR,187.8,
200,S.Diego, LAC,,9,NR,189,NR,148,NR,188,
